,marketMakerAddress,outcome
0,0x63D3A25277f0cd81DFb816549BB3E80AfE4c573c,1
1,0x3C872A803eFF969139f8A7f2f14121fEB6ADe5f6,1
2,0xf2fA33f4011A5F721Ea0b9AAb0E3E09577bfc67E,1
3,0x17a22854b5081a0396eE1b13c23549c87e37103c,1
4,0x860fcf2907e0E17dA6Ca66D83E9aA7A26c46E37d,1
5,0xfB117C28e59398C6B4590106a6770281eaD12E35,0
6,0x888DD33d87646250977B535cB01BaFD15266D340,1
7,0x6284e9b2a8561A34D972c732B45B14364d5Ea9EA,1
8,0xC42f1Ad77618D085177b135082087147c740dd63,0
9,0xbE8c187f31e1e351898497B89d2C90C07C8fE778,1
10,0xf9305Fa3a2c5BDB4bC0168C78673D400b575e9fb,1
11,0xe6dd2C33c9Bfb0E7edF7b0344Ff782CF32EcCfc5,1
12,0x1CD0f9FF5e459842Ce5F98b2173662E8f36470C2,1
13,0x7CC51d7B1180dfF6623a7436eeeeEF68daD2daE2,1
14,0xfdF401C36F44C1b25E490aD1A1cc834A29b32851,1
15,0x0814E84A26e15045570E3950Cc40bEC9dcA0804c,1
16,0x18DEaAD6889101869Ac211D8a9a7257b15AAa235,1
17,0xD6A39D6c50fd16B6BC57a036f535E40aD32F1B37,1
18,0xBDbB8a4c3D67ce25252a839529EDCCfb4CF451Cb,0
19,0x4A82A5c60D646682F38fc920268d66b3AD24617c,1
20,0xDB5c2aca3459e8CA26f565BA61203cffd225192d,0
21,0xdD36f8B671C08a1a1c51ec709c24d389d0F0B91d,0
22,0x84c91a49f137333F2f9a66251F8664389fC24360,0
23,0x603e469C478E7e8C47b6942E2F0Ff7dd8CaD9647,1
24,0xA6BEFa1c3446C077bc566B8498639e61a30a5327,1
25,0x6F48D5A01445A164af5177CE13d2D19Dd423BB60,1
26,0x6c86e108e7ae95263437D472Cea3508c8f511a7F,1
27,0xc3f70aC5cfDc6a1E14903a71C66B41f7f1932E11,1
28,0x2884350f97d6cffD0C7591E73eEcEFf990f53488,1
29,0x85a3857A9426976B0EDB27F47a2c6053b4e308BD,1
30,0x81B448897dc7734D4951075E1C3622ED58eDe4Ce,1
31,0x1461355B9524C4d7f261b2dAc0cd27619Ac291f4,1
32,0x99Ec60f05622C573C54d66A5d77aeb183DadD902,0
33,0x5EFBA7006d95C182169d6100baf9f8342c1ef375,0
34,0x194338092A5266220B25215Cb42676E77b79C5E2,1
35,0x10023e9a0dfe0e5c1baEd4AF2E38D3Be55dCf89F,1
36,0xa5326D5131b7296dEE2492CddD20C9496AeAbAFE,1
37,0xECBebE1f9d9183cE1c77fE886f1bd0B84618F68A,0
38,0xdA85A2286eB98E470845915117aBaD1AfeaD576C,1
39,0x009172776e5550e883cD6395dC5B87E73A291413,1
40,0x1670B5c08bcC9EC0FCAc12028d2d7e0A1321F387,0
41,0xb282752F21e9Adf3B02D728C58a75b240d231a7d,1
42,0xE0e8d6bb881Cc6a0cdC056530D92218554a802F7,0
43,0xEB5302F05077C48E7B3b2C68c08F0bb63d80216F,0
44,0xdA09e0360f040d5F3E0641D953411D0381d45fBd,0
45,0x9A773db2071929121ffc99eD046644e75B6ABd72,0
46,0x575d3Abf85c97A72096399D43CDb171F4c58FAd5,0
47,0x0dcFc0D18791aa89E6264e055796d94283F5d4Ce,1
48,0xC23FDDd59213ac46AEeD873Fe7cEcc9dc5CBCc3C,1
49,0x8340B38b048B4213bc1dAf6eB609042643a2B14A,1
50,0x87C05AaA91843eec2f2d3C8B227B3dCc9DF04184,1
51,0xbF01Eb47d027A2d570cC3c55e248B3245f9efb6D,1
52,0x18f541b0844BEB2517A7B825a95402227536234b,1
53,0x5c112A1F8457F0cFa562E1EA5e03E4e325EA4f8E,1
54,0x13A1D126E4E4FEDf74596b4F0dC782197aECf1ED,0
55,0x48dfB5f9B96Eb53F5e0ACDBf4245d346aB03bBBD,0
56,0xb135243e6694D5A02CB8Fd88949Ee459572632E3,0
57,0x0f555b8377bC2B95D0359E8C8Daf7618BF607664,1
58,0xC4E75198A36e578FAEdBE6605632D9E8DD72d94A,1
59,0x0616230eE8855BA94Aa86Fd6701d4B108f5676DD,1
60,0xe618B02E7A01e6e9375c4F6E047e7E3D723C02Ab,0
61,0xd5a84e3B758f3Cb7341f3D29313365b3A58Dd854,0
62,0x40Ca51ddc583DCB994e19704B8Ea7BC75309E9dc,1
63,0x5fdd228a3eCA2a73115A5D48Ec58F1769aBb99Dd,0
64,0x367cEdfeE92c6B60008E4fb309F282F6eb87F830,1
65,0x354D6dBA8000f8560D75aE95bD4840d484191f78,1
66,0xC5F8971A1a0B3936fB2997eEe55e80206E427281,1
67,0x1d1ffafAd32E982cfba971E432D671c9506dE53d,0
68,0x33E387772763159120E3F8d444A889376486FbF3,1
69,0x646DBa47B8A7f1D3774dA2f169Ef135FFC9071fa,1
70,0x7E2234ECabb8B1FBBC920170F5B292484B4714d2,0
71,0x0Eb4587110dDC98a06a1a0aaeb63890BA6fAf444,1
72,0x737D3EE77d64912240362f5dbF00EC54836c81a3,1
73,0x5Fb8c3284592614b94B5025E3007C0a10a97D0D7,1
74,0x44a046C074771F9b7fd20C5b0A3c31B9dFf64D82,0
75,0x3614Cc7C0d545C20ee44Cf096C957068f82d4796,1
76,0x059aFf698a2BBa5402821933c306B95Ea2c3D9Da,0
77,0xb9A23C17f6a4437b241e0180BC7F0F073D1AC7AF,1
78,0xDCa60e0Ca2C466827429e08964d71FD314C3B954,0
79,0x12288DC428397AF292fC96e6c51789BB7b9E00bF,0
80,0x9D7C08b40D11c5Aa37536431bB1C2F3810B1d743,1
81,0xfEd00e90f6990B7A03F77B497366614fbEe3a156,0
82,0x5b1359e5E08053e3C93EadE5290473FD8E45De43,1
83,0x1005F45e4fa01B55bE76b2E28528c5177b746Cf0,0
84,0xDB8740E23fcBDd1D1fB93b1c48b29dee918C07A0,0
85,0x9430901c8b25db86fD312aa425fb21F458c6C319,0
86,0x844aea5b8dE8691e3b91C3f57064303194B4e295,0
87,0x4f62FCE3B792923F10961a861A1a1A14bf7160C6,0
88,0xbb633484C5b3f83b76f387a50dD636C7807C6B63,1
89,0xEb585ec76fD8BDe9C33C240786B68E76792D7109,0
90,0xe396cE64AC278cC16abC5270424472Fc753408dC,1
91,0x56e8D5eDC7Fe76D055Fa1576ad73fDc083291cBb,0
92,0x9E9446F2f54cc5178E44CF6B2205a3f8CeE88338,0
93,0xFc5e509ece90347A65A0d8Bd4e45e0C5c4C67B88,1
94,0xCbc5e16b48318cf88359D6d700e327bAF645c531,1
95,0x9EFE6E545A79B63C58169607Ad4182592e84477E,0
96,0x87AD4EDAA5D49284C3c3e53DD30cb13bBA61C25c,1
97,0x6F1C7dad9EB9F81C0AF2f6b59E3B55E48773f3FC,0
98,0x25023521b0fbE74a485f1Bf24B3A73282487c75B,0
99,0x502Eb1597E487b33Aa18e5221Aaf402aA9e65aD0,1
100,0x33093843607438ea6AAc6E74d0C0c0D3e633b1Fb,0
101,0xb3E7ff362F77Dd4E8b3834942e20f651baD7C51B,1
102,0x1D8263132bb0dCfa97B4fa1dea53C32BDfE08cE3,0
103,0x0a1cF8A407669Bae8c10fbF56d384464B7a0C7E4,1
104,0x71510e708B50b4C4aeBAb9df785336342B3eEc6a,1
105,0xdDB9BDf18432a62611c16086047e781bec8772AA,0
106,0xb0b111e57898F6e59707633D34e3448Af2a8AbB4,1
107,0x6d51ce7Dd30E3A5B9f56dAD8D21631d87368BFEa,1
108,0x166A6b59448E2f2E25f122Bf5f89a936259EdA71,1
109,0xc578452835a2880E6Ca1BE57Ec64D76086A40C79,0
110,0x04Cee4E1Bb67c02645C65094367e1DcF7b964e5a,0
111,0xd570671807B7350c4028dD0811FcfDd22646cA7a,0
112,0xCD6d86A6720EC6Ebae8C5A1E1b56373E8C5FB914,1
113,0xF28B40BCAc61390B8F309e190020728c122ee70d,0
114,0x5552D9c4b79A5980beD4CA98C71581810c8C8585,0
115,0xD5810198b0c0f5Ae5f58E7A764e2CF38fd95151E,0
116,0xF9C420B2f1e22F26d86157594eFf6F9BB271Df48,0
117,0xF2b5C00EF44651963Fb1B6c2B63Eb0fba79026b7,1
118,0x80e1afFD15E0074EfC888c5161FbE88453420450,0
119,0x54e7CF22937cBD8fd9c993Ceb93F456C15B65125,1
120,0xBaE6897df80606382ADBe985e01494a25095934d,1
121,0x51817D76bfFc9eAd9fB0ebd662795fD01ABE0503,0
122,0x0A2E532f204D3C8F8E4DE23b33116B5479b4381D,1
123,0x0a2703cACD75C0ea85d4e9ae57c3F0211945f047,1
124,0xc460C9Fc9e34152288bA50B99C869c597aE67a28,1
125,0x76c228eCFA7EB8Fc407677FAF99D69592C93c999,1
126,0xf78a01C4E1C3CCD6A5bc9D2206EE1e550135a61D,1
127,0x164b1B54D406889Cd16B8b3C4b2e83843A607e59,0
128,0x92960A0e1164754Df1de0D7a472cbe852ec84E44,0
129,0xCB4bBBCE86347f0870d3BEC144aeCd0F7FE7d51B,0
130,0x8413e73EeE6980a3Fd1b1ff0E2e0EcdAabEFe49d,0
131,0x16690aBADBd444BFf7e44030890a868Bd9b7D19b,1
132,0x5570Bd8140f2490510324Cda2eef22Bb9be7C018,1
133,0x73b083Bd594Cc342Eb8Ed2FFDeb5E33CdC852366,0
134,0x57eBdaC7B159fb6acf517444e9a4f512F41ff151,0
135,0x3B7EcdA3Ae404d330635e2e2BF6340D4D79CC5c0,0
136,0x0bEBfdA61DB4e41893Edcc0dF7C9d72B919A0Cdd,1
137,0x07F076C1AB82ec494d7CA65AbDD3435338F6F1EC,1
138,0xf660B1E0486c901E167D9240c05B3A69fD13D0D5,0
139,0x4816bC817fb25ffE9Cf2913f2c982C16F480521C,1
140,0x03af1798f43950449A8BF5b8477f84f3523E88Bc,1
141,0x7e477148fb90Cc7941d4bdE21B5434640528d7a5,0
142,0xEE6e9b285030517DE8008305696a7B4305E22E04,1
143,0xD8741D73d786f70256744A31E219D860d22Bb355,1
144,0x0a4D0ac0B9568262bE630C71a43a815E427A17E4,1
145,0x5020624473c707f6C4F51f2fa2Ac58Df9fF16373,0
146,0x9734c664A03C314dd7CC839e5c259bF8823e4B6b,0
147,0x47cbbB9a8b56D6860B6dA8c834422cB5c70d5d47,1
148,0xED237265Cfd43E7f7f7C0813F9f79bD5f1E20F1C,0
149,0xF6144b5252F69218ffEe69D5758A953cB4B54C8a,1
150,0x613969d536588151bD0d6C741f219668025E06C8,1
151,0xaD672597ce9a4f0AC40355F08c1A58E272dC1C05,0
152,0x3f2a2a05435C8bCbe600261C35ad103Bd7fff46C,0
153,0xc1eeB2B33F2e3aD746D01c171C980f633a8360e4,0
154,0x43c4BE4a0339986b52B53B9e8f19e5adBC26399D,0
155,0x6ccA5d99E46eAc22891F9a364Dc9A9C060ec3a3D,0
156,0x4c5139171e681A59d7bE1d95f0Bc02B68F972D36,0
157,0x6108fE235f35B1595c4EaFF5b18631497348d9EA,1
158,0x05C40eB969BC26F5bC496DCCfaF1e357350C9b7D,0
159,0xbCA662d74F4C78321458d32CF43ceF14c158f2b7,1
160,0xE0C434f55ab5298120103955485D04d0eD51152E,0
161,0xFA6D1DA727f310C05eFf21B8b699F19e9C0BC8Ce,1
162,0xAe34c75824F2502269295437CF49f165BA022896,0
163,0xFf2C113C1C9eA804F0A5a08297334994F68DcD5f,0
164,0x5bA0fbEFEfd5b1817000EBB127E046645D9E4459,1
165,0x4c24829881672FDC41D792056ca3FCDeb137F4F9,1
166,0xFEE1B636A46B9D910ECDFf292a03064689AF90DD,0
167,0x97d624A04B1521E280F38ebD38294c75aCFC09dE,1
168,0x6453044B2491b2cD68866645df12D35Edf758913,0
169,0x6176D5cE29C8489003B7B52fA2398d14820011eb,0
170,0x1699053a03fa451d6a0864108e70D0cAC2D7664c,0
171,0x67a3628Fb8b5BCDe3a19C295a6355fCca851a8D3,0
172,0x06646F5351DeCf31C6657ce9300c9C4277ee1CD3,1
173,0x2Dcd592A09f1B8753340d1Da37aBAcf558Cd50D6,0
174,0x62025dB892D4006Ccaf850bC283614574bbF48d3,0
175,0xB55504Ef685726117143077c78880393E0A26aE2,0
176,0xbE75b54A9241B119D9f78f8bcB7EA833DBd6fdd4,0
177,0xF76D6Dd7ab79D057554fdfd544a77b93eF82CE37,1
178,0x4Ecd4B43A14B474AB211EA3Df385d02aD578A409,1
179,0xe8796892b041A41E797c504C9B1Dfe1041e17293,0
180,0x9111eE166ad47d97E28d285E3b01a8dDf911A5B9,1
181,0x5103C7D49DaD2C9f91073EC30eC0b5CD4D265126,0
182,0xc10E59dECd3a7f3c75F4F36079D952Cc85Ec46D1,1
183,0x01F63424E1Cd6692ef49B2Ca5eb8E440f35d2B6a,0
184,0xa41C59CEeE3A9a849eE6F9F0038Ea5Bd3a7E8878,1
185,0x674deb22e57cC42531094acb1eB202aef46EccA9,0
186,0xB25FdB17119599a6Bee8774605324ca70A099Af8,0
187,0x810350B9Edb204D43382BC0A9697AD366AA0DAA3,1
188,0x95edC9f220e59b5F59d6347ED8d49b1d8841b46a,1
189,0xA618Bbb3c845F97D58B7615A6a9600c3Bcf201d2,1
190,0x1bB7398783e46B042BDb66AdBAD3D191cB7725B3,0
191,0xD48008F2525cb72Bc31c266393853e248200a0F8,0
192,0x5699762A95342f733E3d50C3781Ea4Cf922C78CB,1
